index name x y z l
98 EElayerCell_01.0098.2 -3.87979 -4.48 13.8625 1
99 EElayerCell_01.0099.2 3.87979 5.6 13.8625 1
100 EElayerCell_01.0100.2 3.87979 -5.6 13.8625 1
101 EElayerCell_01.0101.2 -3.87979 5.6 13.8625 1
102 EElayerCell_01.0102.2 -3.87979 -5.6 13.8625 1
103 EElayerCell_01.0103.2 4.84974 0.56 13.8625 1
104 EElayerCell_01.0104.2 4.84974 -0.56 13.8625 1
105 EElayerCell_01.0105.2 -4.84974 0.56 13.8625 1
106 EElayerCell_01.0106.2 -4.84974 -0.56 13.8625 1
107 EElayerCell_01.0107.2 4.84974 1.68 13.8625 1
108 EElayerCell_01.0108.2 4.84974 -1.68 13.8625 1
109 EElayerCell_01.0109.2 -4.84974 1.68 13.8625 1
110 EElayerCell_01.0110.2 -4.84974 -1.68 13.8625 1
111 EElayerCell_01.0111.2 4.84974 2.8 13.8625 1
112 EElayerCell_01.0112.2 4.84974 -2.8 13.8625 1
113 EElayerCell_01.0113.2 -4.84974 2.8 13.8625 1
114 EElayerCell_01.0114.2 -4.84974 -2.8 13.8625 1
115 EElayerCell_01.0115.2 4.84974 3.92 13.8625 1
116 EElayerCell_01.0116.2 4.84974 -3.92 13.8625 1
117 EElayerCell_01.0117.2 -4.84974 3.92 13.8625 1
118 EElayerCell_01.0118.2 -4.84974 -3.92 13.8625 1
119 EElayerCell_01.0119.2 5.81969 0 13.8625 1
120 EElayerCell_01.0120.2 -5.81969 0 13.8625 1
121 EElayerCell_01.0121.2 5.81969 1.12 13.8625 1
122 EElayerCell_01.0122.2 5.81969 -1.12 13.8625 1
123 EElayerCell_01.0123.2 -5.81969 1.12 13.8625 1
124 EElayerCell_01.0124.2 -5.81969 -1.12 13.8625 1
125 EElayerCell_01.0125.2 5.81969 2.24 13.8625 1
126 EElayerCell_01.0126.2 5.81969 -2.24 13.8625 1
127 EElayerCell_01.0127.2 -5.81969 2.24 13.8625 1
128 EElayerCell_01.0128.2 -5.81969 -2.24 13.8625 1
129 EElayerCell_01.0129.2 6.78964 0.56 13.8625 1
130 EElayerCell_01.0130.2 6.78964 -0.56 13.8625 1
131 EElayerCell_01.0131.2 -6.78964 0.56 13.8625 1
132 EElayerCell_01.0132.2 -6.78964 -0.56 13.8625 1
133 EElayerCell_02.0000.2 0 0 14.7525 2
134 EElayerCell_02.0001.2 0 1.12 14.7525 2
135 EElayerCell_02.0002.2 0 -1.12 14.7525 2
136 EElayerCell_02.0003.2 0 2.24 14.7525 2
137 EElayerCell_02.0004.2 0 -2.24 14.7525 2
138 EElayerCell_02.0005.2 0 3.36 14.7525 2
139 EElayerCell_02.0006.2 0 -3.36 14.7525 2
140 EElayerCell_02.0007.2 0 4.48 14.7525 2
141 EElayerCell_02.0008.2 0 -4.48 14.7525 2
142 EElayerCell_02.0009.2 0 5.6 14.7525 2
143 EElayerCell_02.0010.2 0 -5.6 14.7525 2
144 EElayerCell_02.0011.2 0.969948 0.56 14.7525 2
145 EElayerCell_02.0012.2 0.969948 -0.56 14.7525 2
146 EElayerCell_02.0013.2 -0.969948 0.56 14.7525 2
147 EElayerCell_02.0014.2 -0.969948 -0.56 14.7525 2
148 EElayerCell_02.0015.2 0.969948 1.68 14.7525 2
149 EElayerCell_02.0016.2 0.969948 -1.68 14.7525 2
150 EElayerCell_02.0017.2 -0.969948 1.68 14.7525 2
151 EElayerCell_02.0018.2 -0.969948 -1.68 14.7525 2
152 EElayerCell_02.0019.2 0.969948 2.8 14.7525 2
